;0
the;['AT', 'AT-TL', 'AT-HL', 'AT-NC', 'NIL', 'AT-TL-HL']
fulton;['NP-TL', 'NP']
county;['NN-TL', 'NN', 'NN-HL']
grand;['JJ-TL', 'JJ', 'FW-JJ-TL']
jury;['NN-TL', 'NN', 'NN-HL']
said;['VBD', 'VBN', 'VBN-HL']
friday;['NR', 'NR-TL', 'NP']
an;['AT', 'AT-HL', 'AT-TL', 'NIL', 'AT-NC', 'CC']
investigation;['NN', 'NN-TL']
of;['IN', 'IN-TL', 'IN-HL', 'IN-TL-HL', 'IN-NC', 'NIL']
atlanta's;['NP$']
recent;['JJ', 'JJ-HL']
primary;['NN', 'JJ', 'JJ-HL']
election;['NN', 'NN-TL']
produced;['VBD', 'VBN']
``;['``']
no;['AT', 'RB', 'AT-HL', 'AT-TL', 'QL', 'RB-NC']
evidence;['NN', 'VB']
'';"[""''""]"
that;['CS', 'WPS', 'DT', 'QL', 'WPO', 'CS-HL', 'DT-TL', 'WPS-TL', 'DT-HL', 'DT-NC', 'NIL', 'WPS-NC', 'WPO-NC', 'CS-NC', 'WPS-HL']
any;['DTI', 'QL', 'DTI-HL', 'DTI-TL', 'RB']
irregularities;['NNS']
took;['VBD']
place;['NN', 'VB', 'NN-TL', 'NP', 'NN-HL', 'FW-NN-TL', 'NN-NC']
.;['.', '.-HL']
further;['RBR', 'JJR', 'VB', 'AP']
in;['IN', 'RP', 'IN-HL', 'IN-TL', 'IN-NC', 'RP-HL', 'NN', 'NIL', 'RP-NC', 'FW-IN']
term-end;['NN']
presentments;['NNS']
city;['NN-TL', 'NN', 'NN-TL-HL', 'NN-HL']
executive;['JJ-TL', 'NN-TL', 'NN', 'JJ']
committee;['NN-TL', 'NN']
,;[',', ',-HL', 'FW-RB-TL', ',-TL', ',-NC']
which;['WDT', 'NIL', 'WDT-NC', 'WDT-HL']
had;['HVD', 'HVN', 'HVD-HL', 'NIL']
over-all;['JJ', 'JJ-HL']
charge;['NN', 'VB', 'NN-HL', 'NN-TL', 'NN-NC']
deserves;['VBZ']
praise;['NN', 'VB']
and;['CC', 'CC-TL', 'CC-HL', 'CC-TL-HL', 'NIL', 'CC-NC']
thanks;['NNS', 'NNS-HL']
atlanta;['NP-TL', 'NP']
for;['IN', 'IN-TL', 'IN-HL', 'CS', 'RB', 'NN', 'IN-NC']
manner;['NN']
was;['BEDZ', 'BEDZ-HL', 'BEDZ-NC']
conducted;['VBN', 'VBD']
september-october;['NP']
term;['NN', 'NN-HL', 'VB']
been;['BEN', 'BEN-TL']
charged;['VBN', 'VBD', 'VBN-HL']
by;['IN', 'IN-HL', 'IN-TL', 'RB', 'NIL', 'IN-NC']
superior;['JJ-TL', 'JJ', 'NN']
court;['NN-TL', 'NN', 'NN-HL', 'VB']
judge;['NN-TL', 'NN', 'VB', 'VB-HL']
durwood;['NP']
pye;['NP']
to;['TO', 'IN', 'IN-HL', 'TO-HL', 'IN-TL', 'TO-TL', 'NPS', 'NIL', 'QL', 'TO-NC', 'IN-NC']
investigate;['VB']
reports;['NNS', 'VBZ', 'VBZ-HL', 'NNS-TL']
possible;['JJ']
hard-fought;['JJ']
won;['VBN', 'VBD', 'VBD-HL']
mayor-nominate;['NN-TL']
ivan;['NP']
allen;['NP', 'NP-TL']
jr.;['NP', 'NP-HL']
only;['RB', 'AP', 'JJ', 'QL', 'AP-HL']
a;['AT', 'AT-HL', 'NN', 'AT-TL', 'FW-IN', 'NP-TL', 'NN-TL', 'AT-TL-HL', 'NIL', 'NP', 'NP-HL', 'AT-NC', 'FW-IN-TL']
relative;['JJ', 'NN']
handful;['NN']
such;['JJ', 'ABL', 'QL']
received;['VBN', 'VBD', 'VBN-HL']
considering;['IN', 'VBG']
widespread;['JJ', 'RB']
interest;['NN', 'NN-HL', 'VB', 'NN-TL']
number;['NN', 'NN-HL', 'VB', 'NN-NC', 'NN-TL']
voters;['NNS', 'NNS-TL']
size;['NN', 'VB', 'NN-HL']
this;['DT', 'DT-HL', 'DT-TL', 'QL', 'DT-NC']
it;['PPS', 'PPO', 'PPO-TL', 'PPO-HL', 'PPS-HL', 'PPS-TL', 'PPS-NC', 'PPO-NC', 'UH']
did;['DOD', 'DOD-NC']
find;['VB', 'NN']
many;['AP', 'AP-HL', 'ABN', 'QL', 'NIL', 'AP-NC']
georgia's;['NP$']
registration;['NN']
laws;['NNS']
are;['BER', 'BER-HL', 'BER-TL', 'BER-NC']
outmoded;['JJ']
or;['CC', 'CC-TL', 'NIL', 'CC-HL', 'CC-NC']
inadequate;['JJ']
often;['RB']
ambiguous;['JJ']
recommended;['VBD', 'VBN']
legislators;['NNS', 'NNS-HL']
act;['VB', 'NN', 'NN-TL', 'NN-HL']
have;['HV', 'HV-HL', 'HV-TL', 'HV-NC']
these;['DTS', 'DTS-HL']
studied;['VBN', 'VBD', 'VBN-HL']
revised;['VBN', 'VBD', 'VBN-TL']
end;['NN', 'VB', 'NN-TL', 'NN-HL']
modernizing;['VBG', 'NN', 'VBG-HL']
improving;['VBG']
them;['PPO', 'DTS', 'PPO-HL', 'NIL']
commented;['VBD', 'VBN']
on;['IN', 'IN-TL', 'RP', 'IN-HL', 'RP-TL', 'IN-NC', 'NIL']
other;['AP', 'AP-HL', 'AP-TL']
topics;['NNS']
among;['IN', 'NIL']
purchasing;['VBG', 'VBG-TL', 'NN', 'NN-TL', 'VBG-HL']
departments;['NNS']
well;['QL', 'RB', 'JJ', 'NN', 'UH', 'RB-TL', 'JJ-TL', 'QL-HL', 'VB']
operated;['VBN', 'VBD']
follow;['VB']
generally;['RB', 'QL', 'RB-HL']
accepted;['VBN', 'VBD', 'VBN-TL']
practices;['NNS', 'VBZ', 'NNS-TL', 'NNS-HL']
inure;['VB']
best;['JJT', 'RBT', 'JJT-HL', 'VB', 'NP-TL', 'QL', 'NP']
both;['ABX']
governments;['NNS', 'NNS-TL']
merger;['NN-HL', 'NN']
proposed;['VBN-HL', 'VBN', 'VBD']
however;['WRB', 'WQL', 'RB']
believes;['VBZ']
two;['CD', 'CD-HL', 'CD-TL']
offices;['NNS', 'NNS-TL']
should;['MD', 'MD-HL', 'MD-TL']
be;['BE', 'BE-HL', 'BE-TL', 'NIL', 'UH']
combined;['VBN', 'VBD', 'VBN-TL']
achieve;['VB']
greater;['JJR', 'JJR-TL', 'JJR-HL']
efficiency;['NN', 'NN-HL']
reduce;['VB']
cost;['NN', 'NN-HL', 'VB', 'VBD', 'VBN', 'NN-TL']
administration;['NN', 'NN-TL']
department;['NN-TL', 'NN']
is;['BEZ', 'BEZ-HL', 'BEZ-TL', 'NIL', 'BEZ-NC']
lacking;['VBG', 'VBG-HL']
experienced;['VBN', 'VBD', 'JJ']
clerical;['JJ']
personnel;['NNS', 'NNS-HL', 'NNS-TL', 'FW-JJ']
as;['CS', 'IN', 'QL', 'CS-HL', 'CS-TL', 'RB', 'NIL']
result;['NN', 'VB']
policies;['NNS', 'NNS-HL']
urged;['VBD', 'VBN-HL', 'VBN']
take;['VB', 'NN', 'VB-HL']
steps;['NNS', 'VBZ', 'NNS-TL', 'NNS-HL']
remedy;['VB', 'NN']
problem;['NN', 'NN-HL', 'NN-TL']
implementation;['NN']
automobile;['NN', 'NN-TL', 'NN-HL']
title;['NN', 'NN-HL', 'NN-TL']
law;['NN', 'NN-TL']
also;['RB', 'RB-TL', 'RB-HL']
outgoing;['JJ']
next;['AP', 'IN', 'QL', 'RB', 'AP-HL', 'AP-TL']
legislature;['NN-TL', 'NN']
provide;['VB']
enabling;['VBG']
funds;['NNS', 'NNS-HL']
re-set;['VB']
effective;['JJ', 'JJ-HL']
date;['NN', 'VB', 'NN-TL']
so;['CS', 'QL', 'RB', 'QL-TL', 'UH']
orderly;['JJ', 'NN']
may;['MD', 'NP', 'NP-HL', 'NP-TL', 'MD-HL', 'NIL', 'MD-TL']
effected;['VBN', 'VBD', 'VBN-HL']
swipe;['NN']
at;['IN', 'IN-HL', 'IN-TL', 'IN-NC']
state;['NN-TL', 'NN', 'VB', 'NN-HL', 'NN-TL-HL', 'NN-TL-NC']
welfare;['NN-TL', 'NN', 'NN-HL']
department's;['NN$-TL', 'NN$']
handling;['NN', 'VBG', 'VBG-TL', 'VBG-HL']
federal;['JJ', 'JJ-TL', 'JJ-HL', 'JJ-TL-HL']
granted;['VBN', 'VBD']
child;['NN', 'NP', 'NN-NC']
services;['NNS', 'NNS-HL', 'NNS-TL', 'VBZ']
foster;['JJ', 'NP', 'VB', 'NP-TL']
homes;['NNS']
one;['CD', 'PN', 'CD-TL', 'CD-HL', 'CD-NC', 'PN-NC', 'DTX']
major;['JJ', 'NN-TL', 'NP', 'NN', 'VB', 'JJ-HL', 'JJ-TL']
items;['NNS', 'NNS-TL']
general;['JJ', 'NN', 'JJ-TL', 'NN-TL', 'JJ-HL']
assistance;['NN', 'NN-HL', 'NN-TL']
program;['NN', 'VB', 'NN-TL', 'NN-HL', 'NIL']
but;['CC', 'IN', 'RB', 'CC-HL', 'CC-NC']
has;['HVZ', 'HVZ-TL', 'NIL', 'HVZ-NC']
seen;['VBN']
fit;['JJ', 'VB', 'VBN', 'NN', 'VB-HL', 'NN-HL', 'VBD']
distribute;['VB']
through;['IN', 'RP', 'IN-TL', 'IN-HL']
all;['ABN', 'QL', 'ABN-HL', 'ABN-TL', 'RB', 'ABN-NC']
counties;['NNS', 'NNS-TL']
with;['IN', 'IN-HL', 'IN-TL', 'RB', 'IN-NC']
exception;['NN']
receives;['VBZ']
none;['PN']
money;['NN', 'NN-HL']
jurors;['NNS']
they;['PPSS', 'PPSS-HL', 'PPSS-TL']
realize;['VB']
proportionate;['JJ']
distribution;['NN', 'NN-HL']
might;['MD', 'NN', 'MD-HL', 'NN-TL']
disable;['VB']
our;['PP$', 'PP$-TL', 'PP$-HL', 'PP$-NC']
less;['QL', 'AP', 'RBR', 'AP-HL']
populous;['JJ']
nevertheless;['RB']
we;['PPSS', 'PPSS-HL', 'PPSS-TL']
feel;['VB', 'NN']
future;['NN', 'JJ', 'NN-HL', 'JJ-TL', 'JJ-HL', 'NN-TL']
receive;['VB']
some;['DTI', 'DTI-HL', 'RB', 'DTI-TL', 'QL']
portion;['NN']
available;['JJ', 'JJ-TL']
failure;['NN', 'NN-NC', 'NN-HL']
do;['DO', 'DO-HL', 'NN-TL', 'DO-TL', 'NP', 'DO-NC']
will;['MD', 'MD-HL', 'NN', 'NP', 'NN-TL', 'VB']
continue;['VB']
disproportionate;['JJ']
burden;['NN', 'VB']
taxpayers;['NNS']
ordinary's;['NN$']
under;['IN', 'RB', 'JJ-TL', 'IN-TL', 'IN-HL', 'JJ']
fire;['NN', 'NN-TL', 'VB', 'VB-TL', 'NN-HL']
its;['PP$', 'PP$-HL', 'PP$-TL']
appointment;['NN', 'NN-TL']
appraisers;['NNS']
guardians;['NNS']
administrators;['NNS']
awarding;['NN', 'VBG']
fees;['NNS', 'NNS-HL']
compensation;['NN']
wards;['NNS-HL', 'NNS']
protected;['VBN-HL', 'VBN', 'VBD']
found;['VBD', 'VBN', 'VB']
incorporated;['VBN', 'VBD']
into;['IN', 'IN-HL', 'IN-TL', 'NIL']
operating;['VBG', 'VBG-TL', 'VBG-HL']
procedures;['NNS', 'NNS-HL']
recommendations;['NNS']
previous;['JJ', 'RB', 'AP']
juries;['NNS']
bar;['NN-TL', 'VB-HL', 'NN', 'NN-HL', 'VB']
association;['NN-TL', 'NN', 'NN-TL-HL']
interim;['NN', 'JJ']
citizens;['NNS', 'NNS-TL', 'NNS-HL']
actions;['NNS']
serve;['VB']
protect;['VB']
fact;['NN', 'NN-HL']
effect;['NN', 'VB']
court's;['NN$', 'NN$-TL']
from;['IN', 'IN-HL', 'IN-TL']
undue;['JJ']
costs;['NNS', 'VBZ', 'NNS-HL']
appointed;['VBN', 'VBD']
elected;['VBN', 'VBD', 'VBN-HL']
servants;['NNS']
unmeritorious;['JJ']
criticisms;['NNS']
regarding;['IN', 'VBG']
new;['JJ', 'JJ-TL', 'JJ-HL', 'JJ-TL-HL']
multi-million-dollar;['JJ']
airport;['NN', 'NN-TL']
when;['WRB', 'WRB-HL', 'WRB-TL', 'WRB-NC']
management;['NN', 'NN-HL', 'NN-TL']
takes;['VBZ', 'VBZ-HL']
jan.;['NP', 'NP-HL']
1;['CD', 'CD-HL', 'CD-TL', 'CD-TL-HL', 'NN']
eliminate;['VB']
political;['JJ', 'JJ-TL']
